商品ID,商品名,商品説明,カテゴリ,商品URL,計測用URL(UTM付き),画像URL,販売価格(税込),在庫
3230,ギニュー特戦隊の絆（FB01-133 R）,FB01 覚醒の鼓動 収録,FB01 覚醒の鼓動 > R以下,https://www.kamehouse-db.com/product/3230,https://www.kamehouse-db.com/product/3230?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/product_47614468.jpg,80,あり
3215,エナジーマーカー（孫悟空）（E-143 ★）,エナジーマーカーパック10,エナジーマーカー > エナジーマーカーパック10,https://www.kamehouse-db.com/product/3215,https://www.kamehouse-db.com/product/3215?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260715_336e9c.jpeg,10500,あり
3212,悪鬼を討つ戦士（FB09-096 SR★）,【プロモーションカード】 アルティメットバトル,プロモーションカード > アルティメットバトル,https://www.kamehouse-db.com/product/3212,https://www.kamehouse-db.com/product/3212?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260715_19bf5b.jpg,3090,あり
3211,孫悟空（FS11 FS11-01 L）,スタートデッキEX:FS11 進化の境地,スタートデッキEX > FS11 進化の境地,https://www.kamehouse-db.com/product/3211,https://www.kamehouse-db.com/product/3211?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260714_51b896.jpeg,910,あり
3210,孫悟空:GT(FB03-111/SR☆)A-,FB03収録,FB03 怒りの咆哮 > パラレル,https://www.kamehouse-db.com/product/3210,https://www.kamehouse-db.com/product/3210?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260710_35a9be.png,500,あり
3209,バーダック(FP-021/PR☆),【プロモーションカード】 チャンピオンシップ2024-2025 wave2 エリア予選 参加記念品,プロモーションカード > 大会配布プロモ,https://www.kamehouse-db.com/product/3209,https://www.kamehouse-db.com/product/3209?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20241212_1b188f.JPG,2160,あり
3202,《PSA10》孫悟空(FB05-053/R☆),Vジャンプスペシャル 1st COMPLETE CARD COLLECTION 収録,鑑定品(PSA等),https://www.kamehouse-db.com/product/3202,https://www.kamehouse-db.com/product/3202?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20260630_226750.jpg,44100,あり
3195,【A-】バーダック(FP-021/PR☆),【プロモーションカード】 チャンピオンシップ2024-2025 wave2 エリア予選 参加記念品,SALE,https://www.kamehouse-db.com/product/3195,https://www.kamehouse-db.com/product/3195?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/20241212_1b188f.JPG,1440,あり
3190,ウイス：BR（FB09 FB09-003 C）,FB09 VUAL EVOLUTION,FB09 DUAL EVOLUTION > R以下,https://www.kamehouse-db.com/product/3190,https://www.kamehouse-db.com/product/3190?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/product_75149229.jpg,50,あり
3189,グロリオ：DA（FB09 FB09-004 UC）,FB09 VUAL EVOLUTION,FB09 DUAL EVOLUTION > R以下,https://www.kamehouse-db.com/product/3189,https://www.kamehouse-db.com/product/3189?utm_source=mercari&utm_medium=cpc&utm_campaign=infeed_test,https://www.kamehouse-db.com/data/kamehouse/product/product_75149222.jpg,50,あり
